"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,28,875,89
2,192,1818,222
3,223,2002,295
4,110,2116,323
5,103,1828,336
6,109,1571,302
7,103,1259,265
8,91,1035,176
9,75,813,172
10,110,695,141
11,46,514,104
12,48,443,78
13,46,370,73
14,37,295,49
15,44,269,44
16,40,198,34
17,29,149,42
18,27,149,23
19,11,129,21
20,27,90,20
21,17,69,16
22,23,78,17
23,24,71,13
24,16,49,19
25,8,44,11
26,5,37,10
27,17,36,4
28,8,37,9
29,9,25,4
30,12,25,4
31,7,16,4
32,0,19,1
33,6,20,4
34,4,19,2
35,3,15,5
36,3,16,4
37,7,10,4
38,2,10,2
39,4,7,2
40,0,11,0
41,2,6,1
42,5,12,0
43,0,9,1
44,4,7,2
45,1,9,5
46,2,8,0
47,1,8,2
48,2,4,0
49,2,10,0
50,2,8,1
51,2,5,0
52,3,3,0
53,0,3,0
54,1,7,0
55,1,2,0
56,0,1,1
57,0,2,0
58,1,1,0
59,0,1,1
60,1,0,1
