"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,25,1914,165
2,94,4231,442
3,133,5262,639
4,170,5456,707
5,102,4836,794
6,74,4107,697
7,94,3304,614
8,67,2871,512
9,51,2242,439
10,52,1832,385
11,53,1505,298
12,34,1266,245
13,21,966,233
14,25,828,167
15,28,739,149
16,39,588,112
17,14,466,125
18,18,435,87
19,15,382,83
20,16,298,72
21,20,224,50
22,14,247,54
23,8,238,37
24,10,196,39
25,12,135,35
26,4,118,28
27,12,128,23
28,6,137,30
29,10,100,20
30,7,102,15
31,7,71,17
32,6,78,12
33,4,70,16
34,7,58,13
35,7,57,13
36,5,53,13
37,4,51,6
38,4,41,5
39,1,30,6
40,8,42,8
41,6,29,6
42,5,34,2
43,6,31,3
44,5,32,4
45,1,30,6
46,3,26,3
47,1,23,9
48,3,16,2
49,1,25,2
50,2,20,3
51,0,20,1
52,4,10,0
53,1,12,2
54,2,20,1
55,1,11,2
56,1,11,1
57,2,9,1
58,0,10,0
59,0,9,1
60,2,6,1
