"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,28,989,98
2,134,2101,244
3,112,2305,322
4,98,2463,358
5,102,2161,385
6,61,1883,332
7,49,1505,301
8,55,1264,212
9,61,987,204
10,42,842,172
11,34,632,128
12,35,548,91
13,36,458,99
14,24,366,56
15,24,317,56
16,31,242,49
17,25,192,51
18,23,187,30
19,27,165,26
20,26,129,26
21,6,90,28
22,12,92,26
23,20,95,16
24,12,74,20
25,12,56,14
26,17,50,12
27,14,53,5
28,6,52,13
29,13,34,5
30,9,37,5
31,13,25,6
32,11,31,1
33,18,28,5
34,9,24,3
35,8,24,6
36,11,21,4
37,9,15,4
38,8,13,2
39,14,13,2
40,9,16,0
41,7,8,2
42,3,17,0
43,8,10,1
44,9,9,2
45,12,14,5
46,10,12,1
47,4,7,2
48,4,4,0
49,4,14,2
50,6,8,2
51,1,7,0
52,3,2,0
53,6,4,0
54,3,10,0
55,0,4,0
56,4,3,1
57,3,5,0
58,2,1,1
59,3,4,1
60,4,1,1
