"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,38,1750,158
2,173,3786,420
3,138,4670,612
4,164,4913,671
5,138,4330,757
6,129,3716,671
7,85,2968,579
8,71,2570,479
9,44,2039,412
10,54,1645,363
11,57,1346,269
12,47,1144,229
13,44,881,221
14,38,746,153
15,25,680,137
16,26,530,107
17,16,427,119
18,19,398,80
19,13,345,80
20,21,284,66
21,16,214,51
22,21,220,52
23,21,220,36
24,10,177,39
25,10,126,31
26,10,107,27
27,11,114,21
28,8,119,26
29,15,88,18
30,4,90,15
31,6,67,17
32,6,69,12
33,6,65,15
34,7,56,11
35,2,52,13
36,10,49,13
37,2,43,4
38,3,41,5
39,3,29,6
40,8,39,6
41,3,27,5
42,1,31,2
43,1,31,3
44,3,29,4
45,3,27,6
46,4,25,3
47,3,22,8
48,3,18,2
49,0,23,2
50,4,14,3
51,4,18,0
52,3,8,0
53,2,12,2
54,1,19,1
55,3,11,2
56,1,9,1
57,4,9,1
58,3,10,0
59,2,10,1
60,4,7,2
