"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,42,1585,149
2,218,3341,396
3,145,4067,574
4,108,4332,619
5,139,3852,693
6,113,3267,609
7,89,2641,531
8,73,2290,430
9,80,1800,378
10,41,1459,340
11,42,1200,249
12,39,1022,215
13,32,790,199
14,27,680,140
15,20,616,124
16,19,478,94
17,19,383,104
18,15,364,71
19,12,317,73
20,14,256,56
21,8,194,48
22,6,199,47
23,7,202,35
24,5,167,35
25,7,118,31
26,10,96,27
27,8,113,18
28,8,116,25
29,6,79,18
30,8,84,15
31,7,60,16
32,7,67,10
33,8,58,15
34,4,55,9
35,5,48,12
36,11,47,13
37,7,42,4
38,4,36,5
39,2,29,5
40,3,35,5
41,2,22,5
42,1,26,2
43,8,30,3
44,4,31,5
45,4,27,6
46,4,24,3
47,7,21,6
48,6,16,2
49,4,20,2
50,5,15,3
51,4,16,0
52,4,9,0
53,3,12,2
54,3,17,1
55,0,9,1
56,3,8,1
57,5,8,0
58,1,9,0
59,0,9,1
60,2,9,1
