"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,25,1001,98
2,95,2117,245
3,113,2318,325
4,125,2478,359
5,99,2172,387
6,77,1898,335
7,81,1505,302
8,47,1273,213
9,41,1000,205
10,49,853,172
11,54,639,130
12,35,554,93
13,27,458,100
14,34,365,57
15,30,324,58
16,24,247,50
17,20,197,52
18,29,188,31
19,20,169,28
20,17,128,26
21,25,92,28
22,24,95,26
23,5,95,18
24,11,78,20
25,16,59,14
26,11,49,12
27,13,54,5
28,15,52,13
29,14,33,5
30,6,38,5
31,13,25,6
32,10,31,1
33,10,30,5
34,10,27,3
35,19,24,6
36,8,20,4
37,8,15,4
38,10,14,2
39,9,11,2
40,8,14,0
41,14,8,2
42,9,18,0
43,6,13,1
44,3,12,2
45,7,14,5
46,7,11,1
47,11,8,2
48,10,4,0
49,4,12,1
50,4,9,2
51,4,8,1
52,5,2,0
53,1,4,0
54,4,9,0
55,5,4,0
56,3,2,1
57,0,4,0
58,4,3,0
59,3,2,1
60,2,1,2
