"date","vaccines_administered_estimated_carehomes","vaccines_administered_ggd","vaccines_administered_hospital","vaccines_administered_estimated","vaccines_administered_doctors","vaccines_administered"
2021-06-07,1258441,7966492,1258441,10907972,1683039,7966492
2021-06-08,1263147,8180017,1263147,11145074,1701910,8180017
2021-06-09,1278466,8387818,1278466,11395454,1729170,8387818
2021-06-10,1289552,8595818,1289552,11640368,1754998,8387818
2021-06-11,1299693,8796256,1299693,11878295,1782346,8672491
2021-06-12,1309453,9087286,1309453,12208790,1812051,8672491
2021-06-13,1319101,9284427,1319101,12442350,1838822,9147340
2021-06-14,1328307,9459934,1328307,12651035,1862794,9322847
2021-06-15,1341346,9635594,1341346,12862499,1885559,9496211
2021-06-16,1348842,9810843,1348842,13067373,1907688,9671460
2021-06-17,1356293,9985879,1356293,13269681,1927509,9671460
2021-06-18,1363782,10161879,1363782,13472247,1946586,9671460
2021-06-19,1371261,10339879,1371261,13676759,1965619,9671460
2021-06-20,1378729,10511879,1378729,13875172,1984564,9671468
2021-06-21,1392434,10679455,1392434,14075757,2003868,10337944
2021-06-22,1402549,10849544,1402549,14276342,2024249,10507888
