"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,15,2,19,2021-03-15
"20 - 24",4,0,30,0,34,2021-03-15
"25 - 29",2,1,59,3,65,2021-03-15
"30 - 34",4,5,95,3,107,2021-03-15
"35 - 39",7,12,105,11,135,2021-03-15
"40 - 44",9,9,163,17,198,2021-03-15
"45 - 49",23,17,357,44,441,2021-03-15
"50 - 54",36,46,591,94,767,2021-03-15
"55 - 59",59,85,833,167,1144,2021-03-15
"60 - 64",77,113,971,317,1478,2021-03-15
"65 - 69",70,116,911,483,1580,2021-03-15
"70 - 74",57,105,862,720,1744,2021-03-15
"75 - 79",34,59,469,518,1080,2021-03-15
"80 - 84",11,9,107,193,320,2021-03-15
"85 - 89",1,0,15,31,47,2021-03-15
">90",0,0,3,2,5,2021-03-15
