"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,7,1,10,2020-10-04
"20 - 24",1,1,11,0,13,2020-10-04
"25 - 29",2,1,20,2,25,2020-10-04
"30 - 34",0,1,39,2,42,2020-10-04
"35 - 39",4,3,40,6,53,2020-10-04
"40 - 44",7,5,61,5,78,2020-10-04
"45 - 49",10,11,155,18,194,2020-10-04
"50 - 54",9,14,240,25,288,2020-10-04
"55 - 59",11,15,316,77,419,2020-10-04
"60 - 64",6,25,361,110,502,2020-10-04
"65 - 69",16,34,333,195,578,2020-10-04
"70 - 74",12,34,334,242,622,2020-10-04
"75 - 79",12,23,164,177,376,2020-10-04
"80 - 84",2,6,27,51,86,2020-10-04
"85 - 89",1,0,4,13,18,2020-10-04
">90",0,1,0,0,1,2020-10-04
