"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,15,2,19,2021-03-14
"20 - 24",4,0,30,0,34,2021-03-14
"25 - 29",3,1,57,3,64,2021-03-14
"30 - 34",5,5,93,3,106,2021-03-14
"35 - 39",8,9,104,11,132,2021-03-14
"40 - 44",11,10,161,17,199,2021-03-14
"45 - 49",24,18,355,44,441,2021-03-14
"50 - 54",36,44,589,94,763,2021-03-14
"55 - 59",68,81,823,167,1139,2021-03-14
"60 - 64",77,113,964,313,1467,2021-03-14
"65 - 69",67,118,902,483,1570,2021-03-14
"70 - 74",58,105,857,713,1733,2021-03-14
"75 - 79",35,55,466,518,1074,2021-03-14
"80 - 84",10,8,107,193,318,2021-03-14
"85 - 89",1,0,15,31,47,2021-03-14
">90",0,0,3,2,5,2021-03-14
