"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,9,1,10,2020-05-31
"20 - 24",2,1,7,0,10,2020-05-31
"25 - 29",4,1,9,2,16,2020-05-31
"30 - 34",8,2,21,1,32,2020-05-31
"35 - 39",9,3,25,6,43,2020-05-31
"40 - 44",8,1,44,3,56,2020-05-31
"45 - 49",25,7,107,20,159,2020-05-31
"50 - 54",45,15,166,22,248,2020-05-31
"55 - 59",54,24,216,75,369,2020-05-31
"60 - 64",82,24,248,98,452,2020-05-31
"65 - 69",58,35,234,173,500,2020-05-31
"70 - 74",63,39,230,217,549,2020-05-31
"75 - 79",30,20,105,161,316,2020-05-31
"80 - 84",3,4,18,40,65,2020-05-31
"85 - 89",2,0,3,8,13,2020-05-31
">90",0,0,1,0,1,2020-05-31
