"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,2,12,2,18,2021-02-04
"20 - 24",2,1,25,0,28,2021-02-04
"25 - 29",3,6,44,3,56,2021-02-04
"30 - 34",6,3,82,3,94,2021-02-04
"35 - 39",9,2,83,10,104,2021-02-04
"40 - 44",7,9,126,14,156,2021-02-04
"45 - 49",17,25,304,37,383,2021-02-04
"50 - 54",29,45,485,82,641,2021-02-04
"55 - 59",57,86,676,143,962,2021-02-04
"60 - 64",65,114,802,266,1247,2021-02-04
"65 - 69",68,121,738,431,1358,2021-02-04
"70 - 74",81,116,711,631,1539,2021-02-04
"75 - 79",35,50,394,464,943,2021-02-04
"80 - 84",8,13,95,172,288,2021-02-04
"85 - 89",2,0,14,31,47,2021-02-04
">90",1,0,2,2,5,2021-02-04
