"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,15,2,17,2021-03-01
"20 - 24",3,1,29,0,33,2021-03-01
"25 - 29",3,2,52,3,60,2021-03-01
"30 - 34",6,2,89,3,100,2021-03-01
"35 - 39",5,8,93,11,117,2021-03-01
"40 - 44",7,10,149,16,182,2021-03-01
"45 - 49",20,25,338,43,426,2021-03-01
"50 - 54",31,43,557,91,722,2021-03-01
"55 - 59",60,77,773,160,1070,2021-03-01
"60 - 64",66,98,911,295,1370,2021-03-01
"65 - 69",75,99,845,467,1486,2021-03-01
"70 - 74",60,103,815,686,1664,2021-03-01
"75 - 79",31,56,435,498,1020,2021-03-01
"80 - 84",5,10,105,185,305,2021-03-01
"85 - 89",1,0,15,31,47,2021-03-01
">90",0,0,3,2,5,2021-03-01
