"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,9,1,10,2020-05-30
"20 - 24",2,1,7,0,10,2020-05-30
"25 - 29",4,1,9,2,16,2020-05-30
"30 - 34",8,2,21,1,32,2020-05-30
"35 - 39",9,1,25,6,41,2020-05-30
"40 - 44",7,3,44,3,57,2020-05-30
"45 - 49",27,7,106,20,160,2020-05-30
"50 - 54",45,15,165,22,247,2020-05-30
"55 - 59",55,24,215,75,369,2020-05-30
"60 - 64",81,24,248,98,451,2020-05-30
"65 - 69",57,36,234,173,500,2020-05-30
"70 - 74",64,40,229,216,549,2020-05-30
"75 - 79",30,20,105,161,316,2020-05-30
"80 - 84",3,3,18,40,64,2020-05-30
"85 - 89",2,0,3,8,13,2020-05-30
">90",0,0,1,0,1,2020-05-30
