"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-05-04
"20 - 24",2,1,37,0,40,2021-05-04
"25 - 29",2,4,76,4,86,2021-05-04
"30 - 34",14,9,129,4,156,2021-05-04
"35 - 39",18,9,151,13,191,2021-05-04
"40 - 44",12,21,236,21,290,2021-05-04
"45 - 49",35,42,453,52,582,2021-05-04
"50 - 54",49,70,792,123,1034,2021-05-04
"55 - 59",87,111,1075,209,1482,2021-05-04
"60 - 64",78,134,1227,407,1846,2021-05-04
"65 - 69",93,175,1192,612,2072,2021-05-04
"70 - 74",100,173,1063,873,2209,2021-05-04
"75 - 79",38,68,569,621,1296,2021-05-04
"80 - 84",6,4,130,218,358,2021-05-04
"85 - 89",1,0,16,35,52,2021-05-04
">90",0,0,4,2,6,2021-05-04
