"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,9,1,11,2020-06-18
"20 - 24",2,2,7,0,11,2020-06-18
"25 - 29",4,0,11,2,17,2020-06-18
"30 - 34",8,0,24,3,35,2020-06-18
"35 - 39",4,2,30,6,42,2020-06-18
"40 - 44",4,6,46,4,60,2020-06-18
"45 - 49",18,2,122,20,162,2020-06-18
"50 - 54",43,6,184,23,256,2020-06-18
"55 - 59",48,13,238,75,374,2020-06-18
"60 - 64",64,10,277,100,451,2020-06-18
"65 - 69",39,17,271,180,507,2020-06-18
"70 - 74",57,18,257,224,556,2020-06-18
"75 - 79",31,14,113,162,320,2020-06-18
"80 - 84",4,1,16,42,63,2020-06-18
"85 - 89",1,1,4,9,15,2020-06-18
">90",0,0,0,0,0,2020-06-18
