"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,10,1,11,2020-07-23
"20 - 24",3,1,7,0,11,2020-07-23
"25 - 29",2,0,14,2,18,2020-07-23
"30 - 34",0,1,32,3,36,2020-07-23
"35 - 39",1,2,34,6,43,2020-07-23
"40 - 44",2,2,52,5,61,2020-07-23
"45 - 49",6,0,136,19,161,2020-07-23
"50 - 54",12,2,215,23,252,2020-07-23
"55 - 59",15,4,283,76,378,2020-07-23
"60 - 64",21,2,325,100,448,2020-07-23
"65 - 69",13,4,310,183,510,2020-07-23
"70 - 74",15,8,301,229,553,2020-07-23
"75 - 79",10,6,142,164,322,2020-07-23
"80 - 84",2,0,19,45,66,2020-07-23
"85 - 89",1,0,4,10,15,2020-07-23
">90",0,0,0,0,0,2020-07-23
