"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,2,10,1,13,2020-11-20
"20 - 24",4,0,18,0,22,2020-11-20
"25 - 29",2,0,28,2,32,2020-11-20
"30 - 34",4,4,55,2,65,2020-11-20
"35 - 39",4,2,55,9,70,2020-11-20
"40 - 44",10,5,87,10,112,2020-11-20
"45 - 49",14,10,216,24,264,2020-11-20
"50 - 54",25,44,321,43,433,2020-11-20
"55 - 59",43,81,414,90,628,2020-11-20
"60 - 64",68,90,480,160,798,2020-11-20
"65 - 69",45,106,456,265,872,2020-11-20
"70 - 74",58,133,440,357,988,2020-11-20
"75 - 79",29,72,229,289,619,2020-11-20
"80 - 84",15,16,50,109,190,2020-11-20
"85 - 89",2,1,6,18,27,2020-11-20
">90",0,1,1,2,4,2020-11-20
