"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,2,9,1,13,2020-11-09
"20 - 24",3,3,16,0,22,2020-11-09
"25 - 29",2,3,26,2,33,2020-11-09
"30 - 34",2,5,51,2,60,2020-11-09
"35 - 39",6,3,51,8,68,2020-11-09
"40 - 44",10,9,79,9,107,2020-11-09
"45 - 49",16,15,197,22,250,2020-11-09
"50 - 54",25,53,293,35,406,2020-11-09
"55 - 59",38,74,385,87,584,2020-11-09
"60 - 64",51,107,440,144,742,2020-11-09
"65 - 69",46,109,419,233,807,2020-11-09
"70 - 74",54,138,391,323,906,2020-11-09
"75 - 79",29,81,206,256,572,2020-11-09
"80 - 84",19,27,39,90,175,2020-11-09
"85 - 89",2,2,5,18,27,2020-11-09
">90",0,1,1,1,3,2020-11-09
