"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,2,10,1,16,2021-01-18
"20 - 24",1,1,24,0,26,2021-01-18
"25 - 29",1,4,42,2,49,2021-01-18
"30 - 34",6,3,75,3,87,2021-01-18
"35 - 39",6,6,77,9,98,2021-01-18
"40 - 44",8,6,117,14,145,2021-01-18
"45 - 49",20,32,274,35,361,2021-01-18
"50 - 54",31,50,442,73,596,2021-01-18
"55 - 59",55,87,612,129,883,2021-01-18
"60 - 64",75,121,696,244,1136,2021-01-18
"65 - 69",66,142,660,384,1252,2021-01-18
"70 - 74",72,165,650,562,1449,2021-01-18
"75 - 79",45,63,340,434,882,2021-01-18
"80 - 84",7,11,86,160,264,2021-01-18
"85 - 89",1,2,12,29,44,2021-01-18
">90",0,0,2,2,4,2021-01-18
