"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,9,1,10,2020-06-12
"20 - 24",2,3,7,0,12,2020-06-12
"25 - 29",4,0,11,2,17,2020-06-12
"30 - 34",9,0,23,3,35,2020-06-12
"35 - 39",7,1,27,6,41,2020-06-12
"40 - 44",6,4,44,3,57,2020-06-12
"45 - 49",20,1,119,20,160,2020-06-12
"50 - 54",43,12,177,24,256,2020-06-12
"55 - 59",49,13,236,74,372,2020-06-12
"60 - 64",72,12,267,98,449,2020-06-12
"65 - 69",49,21,258,177,505,2020-06-12
"70 - 74",60,25,246,221,552,2020-06-12
"75 - 79",36,12,109,161,318,2020-06-12
"80 - 84",4,3,16,42,65,2020-06-12
"85 - 89",1,0,4,9,14,2020-06-12
">90",0,0,0,0,0,2020-06-12
