"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,3,1,1,8,2020-04-22
"20 - 24",4,6,2,0,12,2020-04-22
"25 - 29",5,2,5,2,14,2020-04-22
"30 - 34",7,10,12,1,30,2020-04-22
"35 - 39",13,14,11,3,41,2020-04-22
"40 - 44",24,13,14,3,54,2020-04-22
"45 - 49",46,47,39,13,145,2020-04-22
"50 - 54",84,89,53,13,239,2020-04-22
"55 - 59",103,126,62,49,340,2020-04-22
"60 - 64",125,172,59,74,430,2020-04-22
"65 - 69",98,176,81,126,481,2020-04-22
"70 - 74",98,197,70,160,525,2020-04-22
"75 - 79",67,83,40,126,316,2020-04-22
"80 - 84",7,14,4,36,61,2020-04-22
"85 - 89",2,0,0,6,8,2020-04-22
">90",0,0,0,0,0,2020-04-22
