"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-05-01
"20 - 24",3,1,36,0,40,2021-05-01
"25 - 29",2,3,75,4,84,2021-05-01
"30 - 34",11,10,129,4,154,2021-05-01
"35 - 39",16,11,150,13,190,2021-05-01
"40 - 44",14,16,230,21,281,2021-05-01
"45 - 49",34,33,449,52,568,2021-05-01
"50 - 54",48,63,780,121,1012,2021-05-01
"55 - 59",88,107,1055,206,1456,2021-05-01
"60 - 64",82,116,1215,402,1815,2021-05-01
"65 - 69",90,176,1179,600,2045,2021-05-01
"70 - 74",93,180,1046,856,2175,2021-05-01
"75 - 79",35,75,563,613,1286,2021-05-01
"80 - 84",7,5,128,217,357,2021-05-01
"85 - 89",1,0,16,34,51,2021-05-01
">90",0,0,4,2,6,2021-05-01
