"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,9,1,12,2020-12-10
"20 - 24",2,0,20,0,22,2020-12-10
"25 - 29",5,1,28,2,36,2020-12-10
"30 - 34",3,5,63,3,74,2020-12-10
"35 - 39",7,5,59,9,80,2020-12-10
"40 - 44",8,6,97,11,122,2020-12-10
"45 - 49",13,11,231,32,287,2020-12-10
"50 - 54",23,36,363,48,470,2020-12-10
"55 - 59",53,68,466,106,693,2020-12-10
"60 - 64",59,78,549,190,876,2020-12-10
"65 - 69",60,96,507,306,969,2020-12-10
"70 - 74",64,111,506,420,1101,2020-12-10
"75 - 79",28,61,262,340,691,2020-12-10
"80 - 84",19,12,58,131,220,2020-12-10
"85 - 89",2,1,6,22,31,2020-12-10
">90",0,0,1,3,4,2020-12-10
