"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,3,1,1,8,2020-05-05
"20 - 24",4,2,3,0,9,2020-05-05
"25 - 29",4,2,7,2,15,2020-05-05
"30 - 34",8,6,15,1,30,2020-05-05
"35 - 39",14,4,16,3,37,2020-05-05
"40 - 44",22,7,23,3,55,2020-05-05
"45 - 49",33,28,71,16,148,2020-05-05
"50 - 54",72,57,88,19,236,2020-05-05
"55 - 59",97,78,113,63,351,2020-05-05
"60 - 64",134,117,106,82,439,2020-05-05
"65 - 69",99,117,123,152,491,2020-05-05
"70 - 74",100,129,112,196,537,2020-05-05
"75 - 79",61,47,52,148,308,2020-05-05
"80 - 84",11,5,6,38,60,2020-05-05
"85 - 89",2,0,1,7,10,2020-05-05
">90",1,0,1,0,2,2020-05-05
