"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-05-29
"20 - 24",2,1,41,0,44,2021-05-29
"25 - 29",4,4,86,6,100,2021-05-29
"30 - 34",3,4,158,5,170,2021-05-29
"35 - 39",12,6,174,14,206,2021-05-29
"40 - 44",15,12,271,24,322,2021-05-29
"45 - 49",25,29,526,60,640,2021-05-29
"50 - 54",41,57,896,131,1125,2021-05-29
"55 - 59",63,86,1238,225,1612,2021-05-29
"60 - 64",54,65,1375,441,1935,2021-05-29
"65 - 69",60,113,1358,676,2207,2021-05-29
"70 - 74",76,88,1205,957,2326,2021-05-29
"75 - 79",23,31,618,664,1336,2021-05-29
"80 - 84",3,1,136,225,365,2021-05-29
"85 - 89",0,0,17,36,53,2021-05-29
">90",0,0,4,2,6,2021-05-29
