"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,9,1,12,2020-12-27
"20 - 24",2,1,20,0,23,2020-12-27
"25 - 29",4,1,37,2,44,2020-12-27
"30 - 34",4,2,70,3,79,2020-12-27
"35 - 39",6,3,69,9,87,2020-12-27
"40 - 44",7,8,106,11,132,2020-12-27
"45 - 49",15,20,245,31,311,2020-12-27
"50 - 54",23,53,395,61,532,2020-12-27
"55 - 59",51,87,522,115,775,2020-12-27
"60 - 64",46,100,612,212,970,2020-12-27
"65 - 69",53,136,564,334,1087,2020-12-27
"70 - 74",68,145,564,461,1238,2020-12-27
"75 - 79",31,77,294,378,780,2020-12-27
"80 - 84",8,14,73,145,240,2020-12-27
"85 - 89",2,1,8,26,37,2020-12-27
">90",0,0,2,2,4,2020-12-27
