"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,2,9,1,13,2020-12-21
"20 - 24",2,1,20,0,23,2020-12-21
"25 - 29",10,1,30,2,43,2020-12-21
"30 - 34",3,5,68,3,79,2020-12-21
"35 - 39",7,4,64,9,84,2020-12-21
"40 - 44",10,7,101,11,129,2020-12-21
"45 - 49",13,14,242,31,300,2020-12-21
"50 - 54",33,42,377,55,507,2020-12-21
"55 - 59",56,71,496,112,735,2020-12-21
"60 - 64",53,103,580,204,940,2020-12-21
"65 - 69",47,134,538,324,1043,2020-12-21
"70 - 74",65,143,546,446,1200,2020-12-21
"75 - 79",31,72,278,362,743,2020-12-21
"80 - 84",18,15,63,138,234,2020-12-21
"85 - 89",2,0,7,26,35,2020-12-21
">90",0,0,2,2,4,2020-12-21
