"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",4,2,1,1,8,2020-05-01
"20 - 24",4,2,3,0,9,2020-05-01
"25 - 29",6,2,6,2,16,2020-05-01
"30 - 34",8,8,14,1,31,2020-05-01
"35 - 39",11,7,15,3,36,2020-05-01
"40 - 44",20,12,23,3,58,2020-05-01
"45 - 49",38,30,61,16,145,2020-05-01
"50 - 54",71,63,78,18,230,2020-05-01
"55 - 59",96,95,95,62,348,2020-05-01
"60 - 64",125,132,93,80,430,2020-05-01
"65 - 69",97,127,110,148,482,2020-05-01
"70 - 74",101,148,95,186,530,2020-05-01
"75 - 79",59,60,47,145,311,2020-05-01
"80 - 84",12,6,6,38,62,2020-05-01
"85 - 89",2,0,1,7,10,2020-05-01
">90",1,0,1,0,2,2020-05-01
