"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,7,1,9,2020-09-25
"20 - 24",1,1,10,0,12,2020-09-25
"25 - 29",1,1,18,2,22,2020-09-25
"30 - 34",0,2,36,2,40,2020-09-25
"35 - 39",2,1,39,6,48,2020-09-25
"40 - 44",3,4,58,5,70,2020-09-25
"45 - 49",5,7,151,18,181,2020-09-25
"50 - 54",4,9,239,24,276,2020-09-25
"55 - 59",4,9,312,76,401,2020-09-25
"60 - 64",5,16,359,109,489,2020-09-25
"65 - 69",9,26,331,190,556,2020-09-25
"70 - 74",3,27,332,237,599,2020-09-25
"75 - 79",5,15,163,171,354,2020-09-25
"80 - 84",3,3,25,49,80,2020-09-25
"85 - 89",0,1,4,13,18,2020-09-25
">90",0,0,0,0,0,2020-09-25
