"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,2,17,2,21,2021-04-14
"20 - 24",2,0,35,0,37,2021-04-14
"25 - 29",3,4,67,4,78,2021-04-14
"30 - 34",11,10,114,3,138,2021-04-14
"35 - 39",11,17,132,12,172,2021-04-14
"40 - 44",20,17,199,19,255,2021-04-14
"45 - 49",21,34,417,49,521,2021-04-14
"50 - 54",52,79,694,109,934,2021-04-14
"55 - 59",73,107,967,196,1343,2021-04-14
"60 - 64",82,122,1112,368,1684,2021-04-14
"65 - 69",92,169,1059,540,1860,2021-04-14
"70 - 74",81,138,965,801,1985,2021-04-14
"75 - 79",37,74,527,578,1216,2021-04-14
"80 - 84",10,4,121,209,344,2021-04-14
"85 - 89",3,0,15,33,51,2021-04-14
">90",1,1,3,2,7,2021-04-14
