"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,6,1,10,2020-05-24
"20 - 24",2,1,7,0,10,2020-05-24
"25 - 29",5,1,8,2,16,2020-05-24
"30 - 34",8,2,21,1,32,2020-05-24
"35 - 39",11,2,24,6,43,2020-05-24
"40 - 44",9,6,38,3,56,2020-05-24
"45 - 49",28,11,97,20,156,2020-05-24
"50 - 54",49,19,150,22,240,2020-05-24
"55 - 59",56,40,199,74,369,2020-05-24
"60 - 64",90,43,217,95,445,2020-05-24
"65 - 69",79,43,204,172,498,2020-05-24
"70 - 74",80,52,206,213,551,2020-05-24
"75 - 79",39,21,94,158,312,2020-05-24
"80 - 84",10,3,10,41,64,2020-05-24
"85 - 89",1,0,3,7,11,2020-05-24
">90",0,0,1,0,1,2020-05-24
