"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,19,3,23,2021-06-18
"20 - 24",3,0,44,0,47,2021-06-18
"25 - 29",1,1,92,6,100,2021-06-18
"30 - 34",2,4,161,5,172,2021-06-18
"35 - 39",7,4,185,14,210,2021-06-18
"40 - 44",11,4,289,25,329,2021-06-18
"45 - 49",16,11,559,62,648,2021-06-18
"50 - 54",28,30,956,136,1150,2021-06-18
"55 - 59",34,43,1322,242,1641,2021-06-18
"60 - 64",23,33,1447,448,1951,2021-06-18
"65 - 69",42,40,1428,708,2218,2021-06-18
"70 - 74",35,35,1282,980,2332,2021-06-18
"75 - 79",13,10,641,681,1345,2021-06-18
"80 - 84",1,2,138,229,370,2021-06-18
"85 - 89",0,0,18,36,54,2021-06-18
">90",0,0,4,2,6,2021-06-18
