"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,2,8,1,11,2020-10-25
"20 - 24",4,1,12,0,17,2020-10-25
"25 - 29",1,1,23,2,27,2020-10-25
"30 - 34",3,3,45,2,53,2020-10-25
"35 - 39",5,9,44,8,66,2020-10-25
"40 - 44",6,11,71,8,96,2020-10-25
"45 - 49",13,22,174,20,229,2020-10-25
"50 - 54",15,39,265,29,348,2020-10-25
"55 - 59",24,44,344,81,493,2020-10-25
"60 - 64",28,93,386,122,629,2020-10-25
"65 - 69",37,94,367,210,708,2020-10-25
"70 - 74",26,110,358,274,768,2020-10-25
"75 - 79",27,65,181,215,488,2020-10-25
"80 - 84",17,17,31,69,134,2020-10-25
"85 - 89",0,1,5,18,24,2020-10-25
">90",0,0,0,0,0,2020-10-25
