"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,16,2,19,2021-03-19
"20 - 24",2,0,32,0,34,2021-03-19
"25 - 29",0,0,61,3,64,2021-03-19
"30 - 34",4,7,99,3,113,2021-03-19
"35 - 39",5,13,110,11,139,2021-03-19
"40 - 44",3,14,171,17,205,2021-03-19
"45 - 49",18,22,365,44,449,2021-03-19
"50 - 54",35,46,610,96,787,2021-03-19
"55 - 59",63,78,856,171,1168,2021-03-19
"60 - 64",82,107,993,323,1505,2021-03-19
"65 - 69",77,114,930,491,1612,2021-03-19
"70 - 74",56,110,878,729,1773,2021-03-19
"75 - 79",34,63,477,526,1100,2021-03-19
"80 - 84",9,7,110,196,322,2021-03-19
"85 - 89",1,0,15,32,48,2021-03-19
">90",0,0,3,2,5,2021-03-19
