"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,10,1,11,2020-07-01
"20 - 24",3,1,7,0,11,2020-07-01
"25 - 29",1,1,14,2,18,2020-07-01
"30 - 34",0,0,32,3,35,2020-07-01
"35 - 39",1,1,34,6,42,2020-07-01
"40 - 44",0,3,51,5,59,2020-07-01
"45 - 49",8,0,132,20,160,2020-07-01
"50 - 54",17,5,210,24,256,2020-07-01
"55 - 59",21,8,272,76,377,2020-07-01
"60 - 64",23,5,321,100,449,2020-07-01
"65 - 69",21,6,299,183,509,2020-07-01
"70 - 74",26,9,292,228,555,2020-07-01
"75 - 79",17,8,132,165,322,2020-07-01
"80 - 84",2,1,18,43,64,2020-07-01
"85 - 89",1,0,4,9,14,2020-07-01
">90",0,0,0,0,0,2020-07-01
