"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,6,1,10,2020-05-22
"20 - 24",2,1,7,0,10,2020-05-22
"25 - 29",5,1,8,2,16,2020-05-22
"30 - 34",7,3,21,1,32,2020-05-22
"35 - 39",12,1,23,5,41,2020-05-22
"40 - 44",9,5,39,3,56,2020-05-22
"45 - 49",27,12,97,21,157,2020-05-22
"50 - 54",47,20,149,22,238,2020-05-22
"55 - 59",57,40,196,74,367,2020-05-22
"60 - 64",95,46,211,94,446,2020-05-22
"65 - 69",84,47,200,169,500,2020-05-22
"70 - 74",81,57,200,213,551,2020-05-22
"75 - 79",39,23,92,158,312,2020-05-22
"80 - 84",10,3,10,41,64,2020-05-22
"85 - 89",1,0,3,7,11,2020-05-22
">90",0,0,1,0,1,2020-05-22
