"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,9,1,10,2020-07-30
"20 - 24",3,1,7,0,11,2020-07-30
"25 - 29",1,0,16,2,19,2020-07-30
"30 - 34",1,1,32,3,37,2020-07-30
"35 - 39",1,2,33,6,42,2020-07-30
"40 - 44",2,2,53,5,62,2020-07-30
"45 - 49",6,0,136,19,161,2020-07-30
"50 - 54",13,3,215,23,254,2020-07-30
"55 - 59",14,2,286,75,377,2020-07-30
"60 - 64",18,3,328,100,449,2020-07-30
"65 - 69",12,3,311,185,511,2020-07-30
"70 - 74",17,5,303,229,554,2020-07-30
"75 - 79",9,5,144,164,322,2020-07-30
"80 - 84",3,1,19,45,68,2020-07-30
"85 - 89",1,0,4,10,15,2020-07-30
">90",0,0,0,0,0,2020-07-30
