"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,10,1,12,2020-11-15
"20 - 24",2,1,18,0,21,2020-11-15
"25 - 29",2,0,28,2,32,2020-11-15
"30 - 34",1,4,55,2,62,2020-11-15
"35 - 39",6,1,53,9,69,2020-11-15
"40 - 44",5,9,86,10,110,2020-11-15
"45 - 49",11,13,211,24,259,2020-11-15
"50 - 54",28,49,307,37,421,2020-11-15
"55 - 59",42,81,399,87,609,2020-11-15
"60 - 64",50,109,466,149,774,2020-11-15
"65 - 69",46,101,440,252,839,2020-11-15
"70 - 74",60,140,411,344,955,2020-11-15
"75 - 79",30,75,220,269,594,2020-11-15
"80 - 84",14,21,45,102,182,2020-11-15
"85 - 89",2,1,5,18,26,2020-11-15
">90",0,0,1,2,3,2020-11-15
