"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,3,12,1,17,2021-01-31
"20 - 24",3,1,24,0,28,2021-01-31
"25 - 29",2,5,43,3,53,2021-01-31
"30 - 34",8,2,80,3,93,2021-01-31
"35 - 39",7,7,80,10,104,2021-01-31
"40 - 44",5,10,125,14,154,2021-01-31
"45 - 49",16,29,298,36,379,2021-01-31
"50 - 54",25,44,477,81,627,2021-01-31
"55 - 59",58,82,661,141,942,2021-01-31
"60 - 64",66,118,773,262,1219,2021-01-31
"65 - 69",64,141,717,419,1341,2021-01-31
"70 - 74",74,141,693,614,1522,2021-01-31
"75 - 79",38,49,380,456,923,2021-01-31
"80 - 84",10,12,92,168,282,2021-01-31
"85 - 89",2,0,13,31,46,2021-01-31
">90",1,0,2,2,5,2021-01-31
