"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,10,1,11,2020-07-13
"20 - 24",3,1,7,0,11,2020-07-13
"25 - 29",1,1,14,2,18,2020-07-13
"30 - 34",0,0,32,3,35,2020-07-13
"35 - 39",1,1,34,6,42,2020-07-13
"40 - 44",1,2,52,5,60,2020-07-13
"45 - 49",7,1,135,19,162,2020-07-13
"50 - 54",14,4,212,24,254,2020-07-13
"55 - 59",21,4,277,76,378,2020-07-13
"60 - 64",20,3,323,100,446,2020-07-13
"65 - 69",16,6,305,182,509,2020-07-13
"70 - 74",20,5,298,228,551,2020-07-13
"75 - 79",14,3,139,164,320,2020-07-13
"80 - 84",2,1,19,44,66,2020-07-13
"85 - 89",1,0,4,9,14,2020-07-13
">90",0,0,0,0,0,2020-07-13
