"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,19,3,23,2021-07-01
"20 - 24",3,1,45,0,49,2021-07-01
"25 - 29",0,0,94,6,100,2021-07-01
"30 - 34",2,1,164,6,173,2021-07-01
"35 - 39",3,3,191,14,211,2021-07-01
"40 - 44",6,5,294,26,331,2021-07-01
"45 - 49",10,7,570,65,652,2021-07-01
"50 - 54",25,12,977,140,1154,2021-07-01
"55 - 59",19,26,1352,246,1643,2021-07-01
"60 - 64",14,23,1467,449,1953,2021-07-01
"65 - 69",21,25,1465,713,2224,2021-07-01
"70 - 74",25,16,1302,989,2332,2021-07-01
"75 - 79",7,5,649,683,1344,2021-07-01
"80 - 84",0,1,139,228,368,2021-07-01
"85 - 89",0,0,17,37,54,2021-07-01
">90",0,0,4,2,6,2021-07-01
