"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,8,1,10,2020-10-13
"20 - 24",1,1,11,0,13,2020-10-13
"25 - 29",1,1,22,2,26,2020-10-13
"30 - 34",2,4,39,2,47,2020-10-13
"35 - 39",6,4,41,7,58,2020-10-13
"40 - 44",6,8,65,7,86,2020-10-13
"45 - 49",7,14,164,19,204,2020-10-13
"50 - 54",9,23,252,27,311,2020-10-13
"55 - 59",16,21,326,80,443,2020-10-13
"60 - 64",14,51,370,114,549,2020-10-13
"65 - 69",19,50,345,199,613,2020-10-13
"70 - 74",18,63,340,252,673,2020-10-13
"75 - 79",9,45,172,189,415,2020-10-13
"80 - 84",7,14,29,53,103,2020-10-13
"85 - 89",0,1,5,16,22,2020-10-13
">90",0,0,0,0,0,2020-10-13
