"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",5,0,1,1,7,2020-05-10
"20 - 24",3,3,5,0,11,2020-05-10
"25 - 29",4,2,7,2,15,2020-05-10
"30 - 34",8,6,16,1,31,2020-05-10
"35 - 39",17,2,16,4,39,2020-05-10
"40 - 44",20,8,26,3,57,2020-05-10
"45 - 49",31,29,75,18,153,2020-05-10
"50 - 54",66,44,108,18,236,2020-05-10
"55 - 59",99,58,131,68,356,2020-05-10
"60 - 64",126,93,141,85,445,2020-05-10
"65 - 69",95,106,144,155,500,2020-05-10
"70 - 74",98,98,144,202,542,2020-05-10
"75 - 79",54,41,63,154,312,2020-05-10
"80 - 84",12,6,6,38,62,2020-05-10
"85 - 89",2,0,2,7,11,2020-05-10
">90",1,0,1,0,2,2020-05-10
