"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,9,1,10,2020-06-23
"20 - 24",2,2,7,0,11,2020-06-23
"25 - 29",3,1,12,2,18,2020-06-23
"30 - 34",4,0,28,3,35,2020-06-23
"35 - 39",2,1,32,6,41,2020-06-23
"40 - 44",0,4,50,5,59,2020-06-23
"45 - 49",11,1,129,20,161,2020-06-23
"50 - 54",29,3,199,23,254,2020-06-23
"55 - 59",33,10,258,76,377,2020-06-23
"60 - 64",47,6,296,100,449,2020-06-23
"65 - 69",22,18,288,182,510,2020-06-23
"70 - 74",35,13,280,226,554,2020-06-23
"75 - 79",26,9,121,164,320,2020-06-23
"80 - 84",3,0,17,43,63,2020-06-23
"85 - 89",2,0,4,9,15,2020-06-23
">90",0,0,0,0,0,2020-06-23
