"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,2,9,1,13,2020-12-12
"20 - 24",2,0,20,0,22,2020-12-12
"25 - 29",5,1,29,2,37,2020-12-12
"30 - 34",3,4,64,3,74,2020-12-12
"35 - 39",6,4,60,9,79,2020-12-12
"40 - 44",9,6,98,11,124,2020-12-12
"45 - 49",17,8,230,31,286,2020-12-12
"50 - 54",26,38,363,49,476,2020-12-12
"55 - 59",51,67,471,107,696,2020-12-12
"60 - 64",56,77,557,192,882,2020-12-12
"65 - 69",55,96,512,309,972,2020-12-12
"70 - 74",58,117,514,425,1114,2020-12-12
"75 - 79",26,62,265,345,698,2020-12-12
"80 - 84",18,13,60,132,223,2020-12-12
"85 - 89",2,1,6,22,31,2020-12-12
">90",1,0,1,2,4,2020-12-12
