"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,9,1,12,2020-12-23
"20 - 24",2,1,20,0,23,2020-12-23
"25 - 29",6,1,34,2,43,2020-12-23
"30 - 34",5,3,68,3,79,2020-12-23
"35 - 39",5,4,67,9,85,2020-12-23
"40 - 44",6,8,105,11,130,2020-12-23
"45 - 49",13,16,243,31,303,2020-12-23
"50 - 54",24,44,387,56,511,2020-12-23
"55 - 59",50,76,512,113,751,2020-12-23
"60 - 64",37,94,603,208,942,2020-12-23
"65 - 69",45,127,554,328,1054,2020-12-23
"70 - 74",60,138,557,452,1207,2020-12-23
"75 - 79",26,78,284,365,753,2020-12-23
"80 - 84",10,12,72,141,235,2020-12-23
"85 - 89",1,0,8,26,35,2020-12-23
">90",0,0,2,2,4,2020-12-23
