"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",4,2,1,1,8,2020-05-02
"20 - 24",4,2,3,0,9,2020-05-02
"25 - 29",6,2,6,2,16,2020-05-02
"30 - 34",8,8,14,1,31,2020-05-02
"35 - 39",10,7,15,3,35,2020-05-02
"40 - 44",21,10,23,3,57,2020-05-02
"45 - 49",36,31,63,16,146,2020-05-02
"50 - 54",70,60,80,18,228,2020-05-02
"55 - 59",93,87,103,62,345,2020-05-02
"60 - 64",132,121,99,82,434,2020-05-02
"65 - 69",95,129,115,148,487,2020-05-02
"70 - 74",98,142,103,188,531,2020-05-02
"75 - 79",62,54,51,144,311,2020-05-02
"80 - 84",12,5,5,38,60,2020-05-02
"85 - 89",2,0,1,7,10,2020-05-02
">90",1,0,1,0,2,2020-05-02
