"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,2,17,2,21,2021-04-15
"20 - 24",2,0,35,0,37,2021-04-15
"25 - 29",2,4,68,4,78,2021-04-15
"30 - 34",12,9,115,3,139,2021-04-15
"35 - 39",15,17,132,12,176,2021-04-15
"40 - 44",20,18,200,19,257,2021-04-15
"45 - 49",21,32,420,50,523,2021-04-15
"50 - 54",50,76,701,110,937,2021-04-15
"55 - 59",72,110,971,196,1349,2021-04-15
"60 - 64",72,124,1124,372,1692,2021-04-15
"65 - 69",94,168,1064,546,1872,2021-04-15
"70 - 74",74,146,972,804,1996,2021-04-15
"75 - 79",32,75,535,580,1222,2021-04-15
"80 - 84",9,6,122,209,346,2021-04-15
"85 - 89",3,0,15,33,51,2021-04-15
">90",0,0,4,2,6,2021-04-15
