"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,3,9,1,14,2020-11-05
"20 - 24",4,1,15,0,20,2020-11-05
"25 - 29",3,1,24,2,30,2020-11-05
"30 - 34",4,2,49,2,57,2020-11-05
"35 - 39",5,3,50,8,66,2020-11-05
"40 - 44",8,7,78,9,102,2020-11-05
"45 - 49",18,14,192,22,246,2020-11-05
"50 - 54",25,46,285,33,389,2020-11-05
"55 - 59",33,69,373,86,561,2020-11-05
"60 - 64",43,115,421,135,714,2020-11-05
"65 - 69",51,112,405,226,794,2020-11-05
"70 - 74",42,145,379,309,875,2020-11-05
"75 - 79",30,73,200,244,547,2020-11-05
"80 - 84",15,31,36,83,165,2020-11-05
"85 - 89",1,0,5,18,24,2020-11-05
">90",0,1,1,1,3,2020-11-05
