"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,7,1,9,2020-09-26
"20 - 24",1,1,10,0,12,2020-09-26
"25 - 29",1,2,18,2,23,2020-09-26
"30 - 34",0,2,36,2,40,2020-09-26
"35 - 39",3,1,39,6,49,2020-09-26
"40 - 44",2,5,59,5,71,2020-09-26
"45 - 49",6,6,151,18,181,2020-09-26
"50 - 54",5,9,239,24,277,2020-09-26
"55 - 59",5,10,312,76,403,2020-09-26
"60 - 64",5,14,359,108,486,2020-09-26
"65 - 69",8,31,332,191,562,2020-09-26
"70 - 74",4,25,332,238,599,2020-09-26
"75 - 79",5,16,163,174,358,2020-09-26
"80 - 84",3,3,25,49,80,2020-09-26
"85 - 89",0,1,4,13,18,2020-09-26
">90",0,0,0,0,0,2020-09-26
