"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-06-12
"20 - 24",3,0,43,0,46,2021-06-12
"25 - 29",2,0,91,6,99,2021-06-12
"30 - 34",3,3,159,5,170,2021-06-12
"35 - 39",10,5,181,14,210,2021-06-12
"40 - 44",11,8,284,25,328,2021-06-12
"45 - 49",19,17,548,62,646,2021-06-12
"50 - 54",37,30,939,136,1142,2021-06-12
"55 - 59",43,61,1300,233,1637,2021-06-12
"60 - 64",30,34,1434,447,1945,2021-06-12
"65 - 69",54,59,1399,704,2216,2021-06-12
"70 - 74",46,50,1266,973,2335,2021-06-12
"75 - 79",14,15,636,677,1342,2021-06-12
"80 - 84",2,0,137,228,367,2021-06-12
"85 - 89",0,0,17,36,53,2021-06-12
">90",0,0,4,2,6,2021-06-12
