"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",5,1,1,1,8,2020-05-11
"20 - 24",4,2,5,0,11,2020-05-11
"25 - 29",5,2,7,2,16,2020-05-11
"30 - 34",9,5,16,1,31,2020-05-11
"35 - 39",16,3,16,4,39,2020-05-11
"40 - 44",20,8,26,3,57,2020-05-11
"45 - 49",32,27,75,19,153,2020-05-11
"50 - 54",64,45,111,18,238,2020-05-11
"55 - 59",96,57,137,70,360,2020-05-11
"60 - 64",134,88,144,85,451,2020-05-11
"65 - 69",98,98,150,156,502,2020-05-11
"70 - 74",101,96,145,203,545,2020-05-11
"75 - 79",56,38,64,155,313,2020-05-11
"80 - 84",11,7,7,38,63,2020-05-11
"85 - 89",2,2,2,7,13,2020-05-11
">90",1,0,1,0,2,2020-05-11
