"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,8,1,10,2020-10-20
"20 - 24",2,1,11,0,14,2020-10-20
"25 - 29",1,2,22,2,27,2020-10-20
"30 - 34",3,1,43,2,49,2020-10-20
"35 - 39",5,5,43,7,60,2020-10-20
"40 - 44",4,10,69,8,91,2020-10-20
"45 - 49",11,21,169,20,221,2020-10-20
"50 - 54",17,33,254,29,333,2020-10-20
"55 - 59",21,39,334,81,475,2020-10-20
"60 - 64",22,71,379,118,590,2020-10-20
"65 - 69",35,78,355,203,671,2020-10-20
"70 - 74",21,93,352,265,731,2020-10-20
"75 - 79",18,73,178,197,466,2020-10-20
"80 - 84",11,25,30,61,127,2020-10-20
"85 - 89",0,0,5,18,23,2020-10-20
">90",0,0,0,0,0,2020-10-20
