"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,10,1,11,2020-07-18
"20 - 24",3,1,7,0,11,2020-07-18
"25 - 29",1,1,14,2,18,2020-07-18
"30 - 34",0,1,32,3,36,2020-07-18
"35 - 39",1,1,34,6,42,2020-07-18
"40 - 44",2,1,52,5,60,2020-07-18
"45 - 49",7,0,135,19,161,2020-07-18
"50 - 54",12,4,214,24,254,2020-07-18
"55 - 59",16,3,283,76,378,2020-07-18
"60 - 64",20,3,324,100,447,2020-07-18
"65 - 69",12,6,309,183,510,2020-07-18
"70 - 74",19,5,299,230,553,2020-07-18
"75 - 79",14,5,138,164,321,2020-07-18
"80 - 84",2,0,19,44,65,2020-07-18
"85 - 89",1,0,4,10,15,2020-07-18
">90",0,0,0,0,0,2020-07-18
