"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,7,1,8,2020-09-03
"20 - 24",1,1,10,0,12,2020-09-03
"25 - 29",0,0,18,2,20,2020-09-03
"30 - 34",2,0,33,2,37,2020-09-03
"35 - 39",4,1,35,6,46,2020-09-03
"40 - 44",1,2,55,5,63,2020-09-03
"45 - 49",4,2,145,18,169,2020-09-03
"50 - 54",10,5,227,23,265,2020-09-03
"55 - 59",4,4,304,74,386,2020-09-03
"60 - 64",12,6,345,106,469,2020-09-03
"65 - 69",7,9,322,190,528,2020-09-03
"70 - 74",10,5,323,232,570,2020-09-03
"75 - 79",6,4,151,166,327,2020-09-03
"80 - 84",5,1,21,49,76,2020-09-03
"85 - 89",0,1,4,11,16,2020-09-03
">90",0,0,0,0,0,2020-09-03
