"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,10,1,11,2020-07-19
"20 - 24",3,1,7,0,11,2020-07-19
"25 - 29",1,1,14,2,18,2020-07-19
"30 - 34",0,1,32,3,36,2020-07-19
"35 - 39",1,1,34,6,42,2020-07-19
"40 - 44",2,1,52,5,60,2020-07-19
"45 - 49",7,0,135,19,161,2020-07-19
"50 - 54",12,4,214,24,254,2020-07-19
"55 - 59",16,3,283,76,378,2020-07-19
"60 - 64",20,3,324,100,447,2020-07-19
"65 - 69",12,7,309,183,511,2020-07-19
"70 - 74",19,5,299,230,553,2020-07-19
"75 - 79",13,5,138,164,320,2020-07-19
"80 - 84",2,0,19,44,65,2020-07-19
"85 - 89",1,0,4,10,15,2020-07-19
">90",0,0,0,0,0,2020-07-19
