"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,13,2,16,2021-02-05
"20 - 24",2,1,25,0,28,2021-02-05
"25 - 29",4,5,44,3,56,2021-02-05
"30 - 34",5,3,82,3,93,2021-02-05
"35 - 39",7,3,85,10,105,2021-02-05
"40 - 44",7,9,126,14,156,2021-02-05
"45 - 49",18,26,305,37,386,2021-02-05
"50 - 54",32,43,488,82,645,2021-02-05
"55 - 59",55,86,684,144,969,2021-02-05
"60 - 64",70,101,809,268,1248,2021-02-05
"65 - 69",66,124,745,431,1366,2021-02-05
"70 - 74",80,117,717,634,1548,2021-02-05
"75 - 79",33,45,396,469,943,2021-02-05
"80 - 84",9,11,96,172,288,2021-02-05
"85 - 89",2,0,14,31,47,2021-02-05
">90",1,0,2,2,5,2021-02-05
