"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,3,1,1,8,2020-04-24
"20 - 24",3,6,3,0,12,2020-04-24
"25 - 29",7,1,5,2,15,2020-04-24
"30 - 34",6,9,12,1,28,2020-04-24
"35 - 39",13,13,12,3,41,2020-04-24
"40 - 44",22,13,17,3,55,2020-04-24
"45 - 49",49,42,43,14,148,2020-04-24
"50 - 54",78,81,64,14,237,2020-04-24
"55 - 59",102,116,73,56,347,2020-04-24
"60 - 64",131,162,69,76,438,2020-04-24
"65 - 69",104,162,86,130,482,2020-04-24
"70 - 74",106,190,75,170,541,2020-04-24
"75 - 79",67,69,42,135,313,2020-04-24
"80 - 84",12,17,5,36,70,2020-04-24
"85 - 89",3,1,0,6,10,2020-04-24
">90",0,0,0,0,0,2020-04-24
