"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,7,1,8,2020-09-05
"20 - 24",1,1,10,0,12,2020-09-05
"25 - 29",0,0,18,2,20,2020-09-05
"30 - 34",1,0,34,2,37,2020-09-05
"35 - 39",3,3,35,6,47,2020-09-05
"40 - 44",1,3,55,5,64,2020-09-05
"45 - 49",4,1,146,18,169,2020-09-05
"50 - 54",8,6,228,23,265,2020-09-05
"55 - 59",4,3,305,74,386,2020-09-05
"60 - 64",11,6,346,106,469,2020-09-05
"65 - 69",7,8,322,191,528,2020-09-05
"70 - 74",10,4,323,233,570,2020-09-05
"75 - 79",6,6,151,166,329,2020-09-05
"80 - 84",5,1,21,49,76,2020-09-05
"85 - 89",0,1,4,11,16,2020-09-05
">90",0,0,0,0,0,2020-09-05
