"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,7,1,10,2020-09-28
"20 - 24",1,1,10,0,12,2020-09-28
"25 - 29",2,2,19,2,25,2020-09-28
"30 - 34",1,1,36,2,40,2020-09-28
"35 - 39",3,2,39,6,50,2020-09-28
"40 - 44",3,5,60,5,73,2020-09-28
"45 - 49",5,7,152,18,182,2020-09-28
"50 - 54",7,11,239,24,281,2020-09-28
"55 - 59",5,12,313,76,406,2020-09-28
"60 - 64",7,17,360,108,492,2020-09-28
"65 - 69",8,34,332,191,565,2020-09-28
"70 - 74",6,29,332,239,606,2020-09-28
"75 - 79",6,17,163,175,361,2020-09-28
"80 - 84",3,5,25,49,82,2020-09-28
"85 - 89",1,0,4,13,18,2020-09-28
">90",0,1,0,0,1,2020-09-28
