"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,3,1,1,8,2020-04-21
"20 - 24",5,7,2,0,14,2020-04-21
"25 - 29",7,2,3,2,14,2020-04-21
"30 - 34",7,10,12,1,30,2020-04-21
"35 - 39",12,13,11,3,39,2020-04-21
"40 - 44",20,15,15,3,53,2020-04-21
"45 - 49",45,49,38,13,145,2020-04-21
"50 - 54",80,98,47,13,238,2020-04-21
"55 - 59",99,128,60,49,336,2020-04-21
"60 - 64",123,185,52,69,429,2020-04-21
"65 - 69",93,188,76,125,482,2020-04-21
"70 - 74",100,209,65,153,527,2020-04-21
"75 - 79",68,84,37,124,313,2020-04-21
"80 - 84",8,13,5,34,60,2020-04-21
"85 - 89",2,0,0,6,8,2020-04-21
">90",0,0,0,0,0,2020-04-21
