"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,2,10,1,13,2020-12-06
"20 - 24",2,0,20,0,22,2020-12-06
"25 - 29",4,1,28,2,35,2020-12-06
"30 - 34",5,5,59,3,72,2020-12-06
"35 - 39",5,5,59,9,78,2020-12-06
"40 - 44",7,7,94,10,118,2020-12-06
"45 - 49",7,14,230,30,281,2020-12-06
"50 - 54",18,42,354,47,461,2020-12-06
"55 - 59",51,71,457,104,683,2020-12-06
"60 - 64",59,80,536,180,855,2020-12-06
"65 - 69",53,90,496,299,938,2020-12-06
"70 - 74",60,112,496,403,1071,2020-12-06
"75 - 79",34,53,254,332,673,2020-12-06
"80 - 84",17,10,56,126,209,2020-12-06
"85 - 89",2,2,6,21,31,2020-12-06
">90",0,0,1,3,4,2020-12-06
