"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,7,1,8,2020-09-10
"20 - 24",1,1,10,0,12,2020-09-10
"25 - 29",0,0,18,2,20,2020-09-10
"30 - 34",1,0,34,2,37,2020-09-10
"35 - 39",3,2,36,6,47,2020-09-10
"40 - 44",1,4,55,5,65,2020-09-10
"45 - 49",2,3,148,18,171,2020-09-10
"50 - 54",11,6,229,23,269,2020-09-10
"55 - 59",5,4,305,75,389,2020-09-10
"60 - 64",10,4,350,106,470,2020-09-10
"65 - 69",10,6,322,191,529,2020-09-10
"70 - 74",8,11,323,234,576,2020-09-10
"75 - 79",4,6,153,167,330,2020-09-10
"80 - 84",5,0,21,50,76,2020-09-10
"85 - 89",0,1,4,11,16,2020-09-10
">90",0,0,0,0,0,2020-09-10
